Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Label,Predicted True Label
2016-01-04,2016,1,4,Monday,1,2016-01,200.49,201.03,198.59,201.02,222353500,175.29,0.0,175.29,175.29,+,
2016-01-05,2016,1,5,Tuesday,1,2016-01,201.4,201.9,200.05,201.36,110845800,175.59,0.0016911671769417,175.44,175.44,+,
2016-01-06,2016,1,6,Wednesday,1,2016-01,198.34,200.06,197.6,198.82,152112600,173.37,-0.0126141965588607,174.75,174.75,-,
2016-01-07,2016,1,7,Thursday,1,2016-01,195.33,197.44,193.59,194.05,213436100,169.21,-0.0239914009580541,173.365,173.365,-,
2016-01-08,2016,1,8,Friday,1,2016-01,195.19,195.85,191.58,191.92,209817200,167.36,-0.0109765896897462,172.16400000000002,172.16400000000002,-,
2016-01-11,2016,1,11,Monday,2,2016-02,193.01,193.41,189.82,192.11,187941300,167.52,0.0009901644575636,171.39,171.39,+,
2016-01-12,2016,1,12,Tuesday,2,2016-02,193.82,194.55,191.14,193.66,172330500,168.87,0.0080680515560307,171.03,171.03,+,
2016-01-13,2016,1,13,Wednesday,2,2016-02,194.45,194.86,188.38,188.83,221168900,164.66,-0.0249404733507105,170.23375,170.23375,-,
2016-01-14,2016,1,14,Thursday,2,2016-02,189.55,193.26,187.66,191.93,240795600,167.37,0.0164166687053481,169.91555555555556,169.91555555555556,+,
2016-01-15,2016,1,15,Friday,2,2016-02,186.77,188.76,185.52,187.81,324846400,163.77,-0.0214661239583185,169.301,169.301,-,
2016-01-19,2016,1,19,Tuesday,3,2016-03,189.96,190.11,186.2,188.06,195244400,163.99,0.001331222086659,168.8181818181818,168.8181818181818,+,
2016-01-20,2016,1,20,Wednesday,3,2016-03,185.03,187.5,181.02,185.65,286547800,161.89,-0.0128151459303714,168.24083333333334,168.24083333333334,-,
2016-01-21,2016,1,21,Thursday,3,2016-03,186.21,188.87,184.64,186.69,195772900,162.8,0.0056019314664941,167.8223076923077,167.8223076923077,+,
2016-01-22,2016,1,22,Friday,3,2016-03,189.78,190.76,188.88,190.52,168319600,166.14,0.0205152521949361,167.70214285714286,167.70214285714286,+,
2016-01-25,2016,1,25,Monday,4,2016-04,189.92,190.15,187.41,187.64,130371700,163.62,-0.0151165526835101,166.8685714285714,167.42999999999998,-,
2016-01-26,2016,1,26,Tuesday,4,2016-04,188.42,190.53,188.02,190.2,141036800,165.86,0.0136434014260002,166.17357142857142,167.331875,+,
2016-01-27,2016,1,27,Wednesday,4,2016-04,189.58,191.56,187.06,188.13,185681700,164.05,-0.0108833081974365,165.50785714285715,167.13882352941178,-,
2016-01-28,2016,1,28,Thursday,4,2016-04,189.96,190.2,187.16,189.11,143798800,164.91,0.0052091452518601,165.20071428571427,167.015,+,
2016-01-29,2016,1,29,Friday,4,2016-04,190.02,193.88,189.88,193.72,210529300,168.93,0.0243770662559315,165.31285714285715,167.11578947368423,+,
2016-02-01,2016,2,1,Monday,5,2016-05,192.53,194.58,191.84,193.65,136061600,168.87,-0.0003612224983354,165.40928571428572,167.20350000000002,-,
2016-02-02,2016,2,2,Tuesday,5,2016-05,191.96,191.97,189.54,190.16,182564900,165.82,-0.0180219287703514,165.19142857142856,167.13761904761904,-,
2016-02-03,2016,2,3,Wednesday,5,2016-05,191.41,191.78,187.1,191.3,205054900,166.82,0.0059945914788739,165.3457142857143,167.12318181818182,+,
2016-02-04,2016,2,4,Thursday,5,2016-05,190.71,192.75,189.96,191.6,139531800,167.08,0.0015683597103337,165.325,167.12130434782608,+,
2016-02-05,2016,2,5,Friday,5,2016-05,190.99,191.67,187.2,187.95,180788300,163.89,-0.0190498509213178,165.33357142857145,166.98666666666668,-,
2016-02-08,2016,2,8,Monday,6,2016-06,185.77,186.12,182.8,185.42,191526700,161.69,-0.0134611315018277,165.1692857142857,166.7748,-,
2016-02-09,2016,2,9,Tuesday,6,2016-06,183.36,186.94,183.2,185.43,184513100,161.7,5.388615940127295e-05,165.1557142857143,166.57961538461538,+,
2016-02-10,2016,2,10,Wednesday,6,2016-06,186.41,188.34,185.12,185.27,148214100,161.56,-0.0008628870252139,165.06714285714287,166.39370370370372,-,
2016-02-11,2016,2,11,Thursday,6,2016-06,182.34,184.1,181.09,182.86,219058900,159.46,-0.0130081300813008,164.59,166.14607142857145,-,
2016-02-12,2016,2,12,Friday,6,2016-06,184.96,186.65,183.96,186.63,127632400,162.74,0.0206169082206966,164.52714285714288,166.02862068965516,+,
2016-02-16,2016,2,16,Tuesday,7,2016-07,188.77,189.81,187.63,189.78,120250700,165.49,0.0168781557763346,164.5007142857143,166.01066666666665,+,
2016-02-17,2016,2,17,Wednesday,7,2016-07,191.16,193.32,191.01,192.88,136009500,168.19,0.0163349553771972,164.79642857142858,166.0809677419355,+,
2016-02-18,2016,2,18,Thursday,7,2016-07,193.2,193.27,191.72,192.09,102343000,167.5,-0.0040958970448177,164.98142857142858,166.1253125,-,
2016-02-19,2016,2,19,Friday,7,2016-07,191.17,192.18,190.45,192.0,114793000,167.43,-0.0004686821059995,164.8742857142857,166.1648484848485,-,
2016-02-22,2016,2,22,Monday,8,2016-08,193.87,194.95,193.79,194.78,103640300,169.85,0.0144793617101748,164.9442857142857,166.27323529411763,+,
2016-02-23,2016,2,23,Tuesday,8,2016-08,194.0,194.32,192.18,192.32,111455300,167.71,-0.0126296802741885,165.07928571428573,166.31428571428572,-,
2016-02-24,2016,2,24,Wednesday,8,2016-08,190.63,193.53,189.32,193.2,150812200,168.47,0.0045756725619963,165.19714285714286,166.37416666666667,+,
2016-02-25,2016,2,25,Thursday,8,2016-08,193.73,195.55,192.83,195.54,110728300,170.51,0.0121116483398642,165.44214285714287,166.48594594594596,+,
2016-02-26,2016,2,26,Friday,8,2016-08,196.57,196.68,194.9,195.09,129833700,170.12,-0.0023011702544728,165.88714285714286,166.58157894736843,-,
2016-02-29,2016,2,29,Monday,9,2016-09,195.11,196.23,193.33,193.56,125918100,168.79,-0.0078425628623968,166.3942857142857,166.63820512820513,-,
2016-03-01,2016,3,1,Tuesday,9,2016-09,195.01,198.21,194.45,198.11,141799700,172.75,0.0235070939575903,167.1835714285714,166.791,+,
2016-03-02,2016,3,2,Wednesday,9,2016-09,197.74,199.06,197.25,199.0,102415000,173.53,0.0044923771088296,168.03857142857143,166.95536585365855,+,
2016-03-03,2016,3,3,Thursday,9,2016-09,198.79,199.8,198.11,199.78,95172200,174.21,0.0039195482710725,169.09214285714285,167.12809523809523,+,
2016-03-04,2016,3,4,Friday,9,2016-09,200.01,201.35,199.03,200.43,129293600,174.78,0.0032538151900589,169.95214285714286,167.3060465116279,+,
2016-03-07,2016,3,7,Monday,10,2016-10,199.34,201.07,199.25,200.59,100219000,174.92,0.0007979600160918,170.62571428571428,167.4790909090909,+,
2016-03-08,2016,3,8,Tuesday,10,2016-10,199.32,199.92,198.21,198.4,123974900,173.01,-0.010917752824044,170.97,167.602,-,
2016-03-09,2016,3,9,Wednesday,10,2016-10,199.36,199.79,198.43,199.38,94801200,173.86,0.0049394109855591,171.42428571428573,167.73804347826086,+,
2016-03-10,2016,3,10,Thursday,10,2016-10,199.96,201.07,197.38,199.54,156838700,174.0,0.0008023381724628,171.89357142857145,167.8712765957447,+,
2016-03-11,2016,3,11,Friday,10,2016-10,201.26,202.81,199.52,202.76,137964500,176.81,0.0161374649883279,172.3907142857143,168.0575,+,
2016-03-14,2016,3,14,Monday,11,2016-11,202.16,203.04,201.77,202.5,73612000,176.58,-0.0012823454796998,173.02428571428572,168.23142857142858,-,
